"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","ACCOMMOD","EXPEND","Value"
"2012","Finland","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","10.88"
"2012","Finland","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","196.03"
"2012","Finland","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","31.66"
"2012","Finland","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","132.51"
"2012","Finland","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","66.37"
"2012","Finland","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","354.18"
"2012","Finland","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","69.72"
"2012","Sweden","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip",":"
"2012","Sweden","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night",":"
"2012","Sweden","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip",":"
"2012","Sweden","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night",":"
"2012","Sweden","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip",":"
"2012","Sweden","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night",":"
"2012","Sweden","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip",":"
"2012","Sweden","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night",":"
"2013","Belgium","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","102"
"2013","Belgium","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","24.25"
"2013","Belgium","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","297.88"
"2013","Belgium","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","35.77"
"2013","Belgium","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","125.85"
"2013","Belgium","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","48.06"
"2013","Belgium","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","404.62"
"2013","Belgium","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","80.57"
"2013","Bulgaria","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","25.95"
"2013","Bulgaria","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","5.91"
